t_s,ch,vbus_V,current_A,power_W
3551.365918,0,5.998828,-0.0003960,-0.0023755
3551.366976,0,6.002148,0.0001040,0.0006242
3551.368034,0,5.997266,-0.0001040,-0.0006237
3551.369149,0,5.999414,-0.0002700,-0.0016198
3551.370207,0,5.999414,0.0001040,0.0006239
3551.371322,0,5.999414,-0.0002080,-0.0012479
3551.372380,0,5.999414,-0.0002080,-0.0012479
3551.373438,0,5.997461,0.0002700,0.0016193
3551.374553,0,5.998828,0.0000620,0.0003719
3551.375613,0,5.996680,-0.0001660,-0.0009954
3551.376672,0,5.995508,-0.0002500,-0.0014989
3551.377787,0,5.998633,0.0001860,0.0011157
3551.378845,0,6.003516,-0.0000620,-0.0003722
3551.379960,0,5.999414,-0.0002080,-0.0012479
3551.381018,0,5.995703,-0.0003120,-0.0018707
3551.382076,0,5.999023,-0.0001460,-0.0008759
3551.383191,0,5.999805,-0.0002500,-0.0015000
3551.384249,0,5.997266,-0.0002080,-0.0012474
3551.385308,0,5.999414,0.0001040,0.0006239
3551.386424,0,5.997656,0.0000620,0.0003719
3551.387482,0,6.000391,-0.0002700,-0.0016201
3551.388597,0,5.996289,-0.0002280,-0.0013672
3551.389655,0,5.998438,-0.0002080,-0.0012477
3551.390713,0,5.999609,0.0001040,0.0006240
3551.391828,0,5.998438,0.0000200,0.0001200
3551.392885,0,5.997266,-0.0002700,-0.0016193
3551.394001,0,5.998242,-0.0001040,-0.0006238
3551.395059,0,5.999414,0.0001240,0.0007439
3551.396118,0,5.999023,-0.0001860,-0.0011158
3551.397233,0,5.997852,-0.0001860,-0.0011156
3551.398291,0,5.998242,-0.0001660,-0.0009957
3551.399349,0,6.000781,-0.0004160,-0.0024963
3551.400464,0,5.998828,-0.0001240,-0.0007439
3551.401522,0,5.999219,-0.0000400,-0.0002400
3551.402638,0,5.996680,-0.0001660,-0.0009954
3551.403695,0,5.998242,0.0000820,0.0004919
3551.404753,0,5.999414,-0.0000200,-0.0001200
3551.405871,0,5.997461,0.0000820,0.0004918
3551.406930,0,5.999219,-0.0002080,-0.0012478
3551.407988,0,5.997852,0.0003540,0.0021232
3551.409103,0,5.997461,-0.0000400,-0.0002399
3551.410161,0,5.998633,-0.0002280,-0.0013677
3551.411276,0,5.994531,-0.0002280,-0.0013668
3551.412334,0,5.998633,0.0002700,0.0016196
3551.413392,0,5.999609,-0.0001240,-0.0007440
3551.414507,0,5.999805,0.0005620,0.0033719
3551.415566,0,5.996484,-0.0001040,-0.0006236
3551.416625,0,5.996680,0.0003320,0.0019909
3551.417740,0,6.000586,-0.0001040,-0.0006241
3551.418798,0,5.997852,0.0000820,0.0004918
3551.419913,0,6.000781,-0.0000200,-0.0001200
3551.420971,0,5.998242,-0.0000620,-0.0003719
3551.422029,0,5.998633,-0.0001860,-0.0011157
3551.423144,0,5.996484,0.0002080,0.0012473
3551.424202,0,5.998242,-0.0001660,-0.0009957
3551.425318,0,5.994141,-0.0000620,-0.0003716
3551.426377,0,6.000195,-0.0002920,-0.0017521
3551.427434,0,6.000586,-0.0001860,-0.0011161
3551.428550,0,5.998047,0.0000400,0.0002399
3551.429607,0,5.995898,0.0002700,0.0016189
3551.430665,0,5.998438,-0.0003960,-0.0023754
3551.431781,0,6.001758,-0.0002700,-0.0016205
3551.432838,0,5.998438,-0.0004160,-0.0024953
3551.433954,0,6.000000,0.0000820,0.0004920
3551.435011,0,6.001563,-0.0003320,-0.0019925
3551.436069,0,6.001563,0.0000000,0.0000000
3551.437185,0,5.998047,0.0000200,0.0001200
3551.438242,0,5.996875,-0.0004160,-0.0024947
3551.439358,0,6.001758,-0.0001460,-0.0008763
3551.440416,0,5.998438,-0.0002500,-0.0014996
3551.441473,0,5.997461,-0.0000200,-0.0001199
3551.442589,0,5.999219,0.0000000,0.0000000
3551.443646,0,5.998047,-0.0001040,-0.0006238
3551.444704,0,5.999219,0.0000000,0.0000000
3551.445821,0,5.999219,0.0000400,0.0002400
3551.446880,0,5.996484,-0.0003740,-0.0022427
3551.447995,0,5.998828,0.0000000,0.0000000
3551.449053,0,5.997852,0.0003120,0.0018713
3551.450111,0,5.998828,0.0001460,0.0008758
3551.451226,0,5.997461,0.0000620,0.0003718
3551.452284,0,5.997266,-0.0002920,-0.0017512
3551.453342,0,5.999023,-0.0000400,-0.0002400
3551.454457,0,5.999219,0.0000400,0.0002400
3551.455515,0,6.000781,-0.0000620,-0.0003720
3551.456632,0,5.997656,-0.0001040,-0.0006238
3551.457689,0,5.999609,0.0001240,0.0007440
3551.458747,0,5.996484,0.0000820,0.0004917
3551.459863,0,5.997266,-0.0003320,-0.0019911
3551.460920,0,5.999609,-0.0002700,-0.0016199
3551.461978,0,6.001367,-0.0005840,-0.0035048
3551.463094,0,5.996875,-0.0001240,-0.0007436
3551.464151,0,5.995703,-0.0003740,-0.0022424
3551.465267,0,5.995898,0.0001240,0.0007435
3551.466325,0,5.999805,-0.0003740,-0.0022439
3551.467383,0,5.999023,0.0000200,0.0001200
3551.468498,0,6.000781,-0.0000620,-0.0003720
3551.469556,0,6.000391,0.0001040,0.0006240
3551.470671,0,6.000586,-0.0001040,-0.0006241
3551.471729,0,5.999609,-0.0001860,-0.0011159
3551.472787,0,5.997070,-0.0001040,-0.0006237
3551.473902,0,5.997461,0.0024400,0.0146338
3551.474960,0,5.997461,0.0026680,0.0160012
3551.476019,0,5.996875,0.0040460,0.0242634
3551.477135,0,5.997656,0.0013760,0.0082528
3551.478193,0,5.998242,-0.0003540,-0.0021234
3551.479308,0,6.000195,-0.0002280,-0.0013680
3551.480366,0,5.997070,-0.0002700,-0.0016192
3551.481424,0,5.996484,-0.0001460,-0.0008755
3551.482539,0,6.000391,-0.0005000,-0.0030002
3551.483597,0,6.001563,-0.0000400,-0.0002401
3551.484712,0,5.997461,0.0000620,0.0003718
3551.485771,0,5.996680,-0.0003320,-0.0019909
3551.486829,0,5.995703,-0.0002920,-0.0017507
3551.487945,0,6.001367,-0.0000820,-0.0004921
3551.489003,0,5.999414,-0.0004780,-0.0028677
3551.490060,0,5.999805,-0.0002280,-0.0013680
3551.491176,0,6.000781,-0.0002920,-0.0017522
3551.492233,0,6.000586,0.0000400,0.0002400
3551.493349,0,5.998438,-0.0002280,-0.0013676
3551.494407,0,6.000000,-0.0002500,-0.0015000
3551.495464,0,5.999805,0.0001240,0.0007440
3551.496581,0,5.997852,0.0001240,0.0007437
3551.497639,0,5.996289,0.0002920,0.0017509
3551.498697,0,5.996680,-0.0003540,-0.0021228
3551.499812,0,5.998242,-0.0001040,-0.0006238
3551.500870,0,5.997852,0.0000200,0.0001200
3551.501985,0,5.999609,0.0000620,0.0003720
3551.503043,0,5.998828,0.0002080,0.0012478
3551.504101,0,5.998242,-0.0002080,-0.0012476
3551.505216,0,6.001758,-0.0001240,-0.0007442
3551.506276,0,5.998242,0.0000620,0.0003719
3551.507334,0,6.000195,-0.0002080,-0.0012480
3551.508450,0,5.997852,-0.0004380,-0.0026271
3551.509508,0,5.997461,-0.0001040,-0.0006237
3551.510623,0,6.000195,0.0001460,0.0008760
3551.511681,0,5.997461,-0.0000620,-0.0003718
3551.512738,0,5.998438,0.0000000,0.0000000
3551.513854,0,5.997852,-0.0000200,-0.0001200
3551.514911,0,6.001367,-0.0000200,-0.0001200
3551.516028,0,5.997656,0.0002920,0.0017513
3551.517086,0,5.996289,-0.0000200,-0.0001199
3551.518144,0,5.999023,-0.0002280,-0.0013678
3551.519259,0,6.001758,-0.0001240,-0.0007442
3551.520317,0,5.999023,-0.0000400,-0.0002400
3551.521375,0,6.000195,-0.0002920,-0.0017521
3551.522490,0,6.001563,0.0002700,0.0016204
3551.523548,0,6.000000,0.0001660,0.0009960
3551.524664,0,5.997852,-0.0000400,-0.0002399
3551.525722,0,5.999609,-0.0000200,-0.0001200
3551.526780,0,5.999414,-0.0002500,-0.0014999
3551.527895,0,5.999023,0.0000820,0.0004919
3551.528953,0,5.999023,-0.0002700,-0.0016197
3551.530068,0,6.000195,-0.0001460,-0.0008760
3551.531126,0,6.001563,-0.0001240,-0.0007442
3551.532184,0,5.998438,0.0001040,0.0006238
3551.533299,0,6.000586,-0.0001460,-0.0008761
3551.534357,0,5.997461,0.0000200,0.0001199
3551.535415,0,5.994922,-0.0002080,-0.0012469
3551.536533,0,6.000781,-0.0001040,-0.0006241
3551.537592,0,5.998828,-0.0001240,-0.0007439
3551.538707,0,5.999023,-0.0002080,-0.0012478
3551.539765,0,5.998828,0.0002920,0.0017517
3551.540823,0,6.000781,-0.0002920,-0.0017522
3551.541938,0,5.999023,0.0002280,0.0013678
3551.542996,0,6.001563,0.0001660,0.0009963
3551.544053,0,6.000586,-0.0001860,-0.0011161
3551.545169,0,5.996875,0.0002280,0.0013673
3551.546228,0,5.997266,-0.0001860,-0.0011155
3551.547344,0,5.998633,0.0000400,0.0002399
3551.548402,0,6.002734,-0.0003120,-0.0018729
3551.549460,0,6.000586,0.0000200,0.0001200
3551.550575,0,5.997656,-0.0002700,-0.0016194
3551.551633,0,5.998828,-0.0002500,-0.0014997
3551.552691,0,5.998633,-0.0001240,-0.0007438
3551.553806,0,5.998828,0.0000200,0.0001200
3551.554864,0,5.996094,0.0002280,0.0013671
3551.555980,0,5.997461,-0.0000200,-0.0001199
3551.557038,0,5.999023,-0.0001460,-0.0008759
3551.558096,0,5.998828,0.0002500,0.0014997
3551.559212,0,5.998633,0.0001240,0.0007438
3551.560270,0,5.998438,-0.0002500,-0.0014996
3551.561385,0,6.000586,0.0000400,0.0002400
3551.562443,0,6.000195,-0.0003740,-0.0022441
3551.563501,0,5.997656,0.0001460,0.0008757
3551.564616,0,5.997461,0.0002500,0.0014994
3551.565674,0,6.000977,0.0001460,0.0008761
3551.566733,0,6.000000,-0.0003320,-0.0019920
3551.567849,0,5.997656,0.0001240,0.0007437
3551.568907,0,5.998828,0.0000400,0.0002400
3551.570022,0,5.996875,0.0002500,0.0014992
3551.571080,0,5.995508,-0.0003540,-0.0021224
3551.572138,0,5.999414,0.0002280,0.0013679
3551.573253,0,6.000000,0.0001860,0.0011160
3551.574311,0,6.001172,-0.0001240,-0.0007441
3551.575369,0,5.996680,0.0000200,0.0001199
3551.576485,0,5.997656,-0.0004580,-0.0027469
3551.577544,0,6.000195,0.0000200,0.0001200
3551.578659,0,5.998828,-0.0001240,-0.0007439
3551.579717,0,6.000000,-0.0000400,-0.0002400
3551.580775,0,5.999609,-0.0001240,-0.0007440
3551.581890,0,6.000781,0.0000400,0.0002400
3551.582948,0,5.999023,-0.0000200,-0.0001200
3551.584063,0,6.000000,-0.0001860,-0.0011160
3551.585121,0,5.998438,-0.0003740,-0.0022434
3551.586180,0,5.999609,0.0003540,0.0021239
3551.587296,0,6.001758,-0.0003540,-0.0021246
3551.588354,0,5.997461,0.0000000,0.0000000
3551.589412,0,5.998438,-0.0001040,-0.0006238
3551.590527,0,5.995313,0.0002280,0.0013669
3551.591585,0,6.000781,-0.0001660,-0.0009961
3551.592701,0,6.000000,-0.0002080,-0.0012480
3551.593758,0,5.997852,0.0002500,0.0014995
3551.594816,0,5.995703,0.0000200,0.0001199
3551.595931,0,5.999023,0.0000620,0.0003719
3551.596989,0,5.998633,0.0003320,0.0019915
3551.598047,0,5.998828,-0.0001460,-0.0008758
3551.599162,0,6.000000,-0.0000620,-0.0003720
3551.600220,0,5.998633,0.0000400,0.0002399
3551.601335,0,5.998828,-0.0002080,-0.0012478
3551.602393,0,5.996484,-0.0001460,-0.0008755
3551.603451,0,5.998242,-0.0004780,-0.0028672
3551.604567,0,5.998438,-0.0001040,-0.0006238
3551.605624,0,6.001758,0.0001660,0.0009963
3551.606741,0,5.996094,-0.0001660,-0.0009954
3551.607800,0,5.999609,-0.0001660,-0.0009959
3551.608858,0,6.000391,-0.0002080,-0.0012481
3551.609973,0,6.000391,0.0001860,0.0011161
3551.611031,0,5.998828,0.0005200,0.0031194
3551.614005,0,5.998828,0.0006460,0.0038752
3551.615769,0,5.997266,0.0001460,0.0008756
3551.617529,0,6.000000,-0.0003120,-0.0018720
3551.619288,0,5.999414,0.0000820,0.0004920
3551.621045,0,5.996094,-0.0004160,-0.0024944
3551.622803,0,6.000195,0.0000200,0.0001200
3551.624560,0,5.999023,-0.0000820,-0.0004919
3551.626318,0,5.998047,0.0000620,0.0003719
3551.627204,0,5.995898,0.0002280,0.0013671
3551.628319,0,6.000000,-0.0001040,-0.0006240
3551.629377,0,5.995703,0.0000000,0.0000000
3551.630492,0,6.000977,-0.0000400,-0.0002400
3551.631550,0,5.997266,-0.0001240,-0.0007437
3551.632608,0,5.998242,-0.0000820,-0.0004919
3551.633723,0,5.997070,-0.0001240,-0.0007436
3551.634781,0,5.999609,-0.0001660,-0.0009959
3551.635896,0,5.998438,0.0001460,0.0008758
3551.636956,0,5.995898,0.0000200,0.0001199
3551.638015,0,5.996484,0.0000200,0.0001199
3551.639130,0,5.997461,0.0001660,0.0009956
3551.640188,0,5.998047,-0.0001860,-0.0011156
3551.641246,0,5.998633,-0.0000400,-0.0002399
3551.642361,0,5.997070,0.0002700,0.0016192
3551.643418,0,5.996289,0.0000200,0.0001199
3551.644534,0,5.996875,-0.0001660,-0.0009955
3551.645592,0,6.000195,-0.0001460,-0.0008760
3551.646650,0,5.998438,-0.0001660,-0.0009957
3551.647767,0,6.000391,0.0001040,0.0006240
3551.648824,0,5.998438,0.0002080,0.0012477
3551.649882,0,5.999023,0.0000820,0.0004919
3551.650998,0,5.997852,-0.0001660,-0.0009956
3551.652055,0,5.999414,0.0002280,0.0013679
3551.653171,0,6.000195,-0.0003120,-0.0018721
3551.654228,0,6.000391,0.0000400,0.0002400
3551.655286,0,5.998633,0.0000000,0.0000000
3551.656402,0,6.002344,0.0000200,0.0001200
3551.657460,0,6.001367,-0.0004160,-0.0024966
3551.658576,0,5.995508,0.0000200,0.0001199
3551.659633,0,5.998242,-0.0002500,-0.0014996
3551.660691,0,5.999805,0.0000400,0.0002400
3551.661806,0,5.998242,-0.0002700,-0.0016195
3551.662864,0,5.995703,-0.0002500,-0.0014989
3551.663922,0,5.999219,-0.0002500,-0.0014998
3551.665037,0,5.998242,-0.0004580,-0.0027472
3551.666095,0,5.997461,-0.0000820,-0.0004918
3551.667213,0,5.996289,-0.0001460,-0.0008755
3551.668272,0,5.997266,-0.0001240,-0.0007437
3551.669329,0,5.996875,0.0000200,0.0001199
3551.670445,0,5.998828,0.0000400,0.0002400
3551.671502,0,5.998633,-0.0002080,-0.0012477
3551.672560,0,5.999219,-0.0002080,-0.0012478
3551.673675,0,5.996094,-0.0000620,-0.0003718
3551.674733,0,5.995313,-0.0002080,-0.0012470
3551.675849,0,6.000000,0.0000620,0.0003720
3551.676907,0,5.998242,0.0000000,0.0000000
3551.677965,0,5.999414,-0.0003540,-0.0021238
3551.679081,0,5.996094,-0.0001040,-0.0006236
3551.680139,0,5.998438,-0.0000620,-0.0003719
3551.681196,0,6.001563,-0.0006040,-0.0036249
3551.682312,0,6.000781,0.0001040,0.0006241
3551.683369,0,6.000391,0.0000620,0.0003720
3551.684485,0,5.998633,-0.0001040,-0.0006239
3551.685543,0,5.999414,0.0003120,0.0018718
3551.686601,0,6.001367,0.0000820,0.0004921
3551.687717,0,6.000195,0.0001240,0.0007440
3551.688775,0,5.996875,0.0000400,0.0002399
3551.689890,0,5.999414,0.0002280,0.0013679
3551.690948,0,6.000586,0.0002280,0.0013681
3551.692006,0,5.998633,-0.0000820,-0.0004919
3551.693121,0,5.998242,0.0000620,0.0003719
3551.694179,0,5.999023,-0.0001240,-0.0007439
3551.695237,0,6.001172,-0.0001860,-0.0011162
3551.696352,0,5.998828,-0.0000820,-0.0004919
3551.697413,0,5.998047,-0.0004160,-0.0024952
3551.698529,0,5.994727,0.0001240,0.0007433
3551.699587,0,6.002148,-0.0000200,-0.0001200
3551.700645,0,5.997461,0.0000000,0.0000000
3551.701760,0,5.999609,-0.0000820,-0.0004920
3551.702818,0,6.000977,-0.0001040,-0.0006241
3551.703875,0,5.997070,0.0000400,0.0002399
3551.704991,0,5.999023,0.0001460,0.0008759
3551.706048,0,5.997656,-0.0002280,-0.0013675
3551.707165,0,5.997852,-0.0003740,-0.0022432
3551.708224,0,6.000586,0.0002280,0.0013681
3551.709282,0,6.000781,0.0001860,0.0011161
3551.710397,0,5.997266,0.0001660,0.0009955
3551.711455,0,5.995898,-0.0005000,-0.0029979
3551.712570,0,6.000000,-0.0000200,-0.0001200
3551.713628,0,5.999023,-0.0001460,-0.0008759
3551.714686,0,6.000000,-0.0001460,-0.0008760
3551.715801,0,5.997656,0.0004380,0.0026270
3551.716859,0,5.997852,-0.0000200,-0.0001200
3551.717917,0,6.000781,0.0005620,0.0033724
3551.719033,0,5.997656,-0.0000820,-0.0004918
3551.720091,0,5.998438,-0.0004780,-0.0028673
3551.721206,0,5.997461,0.0001660,0.0009956
