t_s,ch,vbus_V,current_A,power_W
3625.405853,0,5.998828,-0.0001100,-0.0006599
3625.537690,0,5.998828,-0.0000880,-0.0005279
3625.669543,0,5.999023,-0.0000420,-0.0002520
3625.801381,0,5.999023,-0.0001120,-0.0006719
3625.933423,0,5.999219,-0.0000500,-0.0003000
3626.064992,0,5.998633,-0.0000800,-0.0004799
3626.196830,0,5.998633,-0.0001460,-0.0008758
3626.328694,0,5.998633,-0.0000700,-0.0004199
3626.460475,0,5.998828,-0.0000920,-0.0005519
3626.592322,0,5.998438,-0.0000700,-0.0004199
3626.724160,0,5.999023,-0.0000660,-0.0003959
3626.855993,0,5.998633,-0.0000600,-0.0003599
3626.987828,0,5.999023,-0.0000620,-0.0003719
3627.119664,0,5.998633,-0.0000340,-0.0002040
3627.251465,0,5.999023,-0.0000960,-0.0005759
3627.383298,0,5.998633,-0.0000120,-0.0000720
3627.515138,0,5.998828,-0.0000920,-0.0005519
3627.646974,0,5.998828,-0.0000860,-0.0005159
3627.778819,0,5.998828,-0.0000500,-0.0002999
3627.910594,0,5.998633,-0.0000240,-0.0001440
3628.042431,0,5.998828,-0.0000300,-0.0001800
3628.174265,0,5.998828,-0.0000920,-0.0005519
3628.306101,0,5.998633,-0.0000480,-0.0002879
3628.437938,0,5.998828,-0.0000280,-0.0001680
3628.569775,0,5.999023,-0.0000680,-0.0004079
3628.701588,0,5.998633,-0.0001140,-0.0006838
3628.833430,0,5.998633,-0.0000360,-0.0002160
3628.965275,0,5.998633,-0.0000720,-0.0004319
3629.097092,0,5.998828,-0.0000280,-0.0001680
3629.228886,0,5.999023,-0.0000740,-0.0004439
3629.360766,0,5.998828,-0.0001260,-0.0007559
3629.492571,0,5.998633,-0.0000280,-0.0001680
3629.624412,0,5.998633,-0.0000600,-0.0003599
3629.756250,0,5.998828,-0.0001100,-0.0006599
3629.888046,0,5.999023,-0.0000380,-0.0002280
3630.019882,0,5.999023,-0.0000660,-0.0003959
3630.151720,0,5.998633,-0.0001080,-0.0006479
3630.283534,0,5.998633,-0.0000280,-0.0001680
3630.415370,0,5.999023,-0.0000640,-0.0003839
3630.547187,0,5.998828,-0.0000680,-0.0004079
3630.679026,0,5.998828,-0.0000760,-0.0004559
3630.810880,0,5.998633,-0.0000780,-0.0004679
3630.942717,0,5.998828,-0.0000960,-0.0005759
3631.074495,0,5.998633,-0.0000720,-0.0004319
3631.206330,0,5.999023,-0.0000800,-0.0004799
3631.338861,0,5.999023,-0.0000620,-0.0003719
3631.470013,0,5.998828,-0.0001180,-0.0007079
3631.601848,0,5.998828,-0.0000540,-0.0003239
3631.733652,0,5.999023,-0.0000620,-0.0003719
3631.865494,0,5.998828,-0.0000140,-0.0000840
3631.997331,0,5.998633,-0.0000660,-0.0003959
3632.129166,0,5.999023,-0.0000100,-0.0000600
3632.261005,0,5.999219,-0.0000280,-0.0001680
3632.392842,0,5.998828,-0.0000880,-0.0005279
3632.524618,0,5.998828,-0.0000620,-0.0003719
3632.656455,0,5.999023,-0.0000380,-0.0002280
3632.788292,0,5.998828,-0.0000820,-0.0004919
3632.920116,0,5.998828,-0.0001200,-0.0007199
3633.051952,0,5.999023,-0.0001300,-0.0007799
3633.183764,0,5.998828,-0.0000720,-0.0004319
3633.315629,0,5.998828,-0.0000920,-0.0005519
3633.447424,0,5.998828,-0.0000660,-0.0003959
3633.579260,0,5.998828,-0.0000820,-0.0004919
3633.711094,0,5.999023,-0.0001360,-0.0008159
3633.842920,0,5.999023,-0.0000920,-0.0005519
3633.974757,0,5.998633,0.0000100,0.0000600
3634.106570,0,5.999023,-0.0000780,-0.0004679
3634.238437,0,5.998828,-0.0000620,-0.0003719
3634.370231,0,5.999219,-0.0000420,-0.0002520
3634.502064,0,5.998633,-0.0001200,-0.0007198
3634.634384,0,5.999023,-0.0000840,-0.0005039
3634.765723,0,5.999023,-0.0000680,-0.0004079
3634.897561,0,5.998828,-0.0000560,-0.0003359
3635.029373,0,5.998828,-0.0000200,-0.0001200
3635.161209,0,5.998828,-0.0000220,-0.0001320
3635.293052,0,5.999023,-0.0000500,-0.0003000
3635.424888,0,5.999023,-0.0000800,-0.0004799
3635.556731,0,5.998828,-0.0001040,-0.0006239
3635.688567,0,5.998828,-0.0001040,-0.0006239
3635.820400,0,5.998828,-0.0000720,-0.0004319
3635.952211,0,5.999023,-0.0000720,-0.0004319
