t_s,current_A_mean,current_A_max,vbus_V_min
312,0.00003162,0.001327,6.3152
313,0.00004594,0.001291,6.3154
314,0.00003043,0.001129,6.3146
315,0.00003836,0.000993,6.3141
316,0.00003436,0.000869,6.3135
317,0.00002218,0.001619,6.3160
318,0.00002959,0.000925,6.3148
319,0.00003476,0.001823,6.3170
320,0.00003150,0.001749,6.3160
321,0.00002802,0.001161,6.3146
322,0.00002920,0.000983,6.3148
323,0.00003391,0.000707,6.3150
324,0.00002907,0.001427,6.3156
325,0.00003898,0.001619,6.3160
326,0.00003540,0.001499,6.3158
327,0.00003647,0.000857,6.3133
328,0.00003307,0.001307,6.3148
329,0.00002821,0.001353,6.3141
330,0.00002236,0.001291,6.3146
331,0.00003836,0.001467,6.3158
332,0.00003209,0.001259,6.3154
333,0.00003505,0.001239,6.3143
334,0.00002734,0.001411,6.3156
335,0.00002870,0.000931,6.3135
336,0.00001759,0.001087,6.3152
337,0.00003887,0.001323,6.3148
338,0.00004065,0.001499,6.3152
339,0.00003124,0.000983,6.3129
340,0.00003092,0.001619,6.3145
341,0.00003369,0.001099,6.3160
342,0.00002767,0.001035,6.3145
343,0.00002169,0.001149,6.3143
344,0.00003626,0.001561,6.3148
345,0.00002663,0.001253,6.3148
346,0.00004095,0.001681,6.3160
347,0.00002680,0.001019,6.3129
348,0.00003051,0.000665,6.3131
349,0.00002949,0.001447,6.3162
350,0.00003564,0.001671,6.3164
351,0.00002697,0.001665,6.3148
352,0.00002981,0.001097,6.3146
353,0.00002913,0.000817,6.3129
354,0.00003749,0.001891,6.3164
355,0.00003873,0.001437,6.3154
356,0.00002327,0.001093,6.3139
357,0.00002927,0.001347,6.3148
358,0.00002596,0.001347,6.3152
359,0.00004167,0.001869,6.3150
360,0.00004149,0.001563,6.3170
361,0.00003460,0.001217,6.3158
362,0.00001991,0.001191,6.3141
363,0.00002166,0.000999,6.3139
364,0.00003555,0.001243,6.3152
365,0.00002488,0.001223,6.3148
366,0.00003127,0.001307,6.3148
367,0.00003310,0.001109,6.3137
368,0.00004626,0.001775,6.3156
369,0.00003195,0.001275,6.3160
370,0.00003969,0.000921,6.3150
371,0.00002940,0.001781,6.3150
372,0.00002273,0.000285,6.3184
373,0.00003201,0.001253,6.3166
374,0.00003105,0.001301,6.3164
375,0.00003464,0.000925,6.3152
376,0.00003271,0.001155,6.3160
377,0.00002646,0.001317,6.3148
378,0.00003110,0.001619,6.3145
379,0.00003550,0.001707,6.3164
380,0.00004192,0.001499,6.3154
381,0.00004098,0.000805,6.3150
382,0.00002987,0.001765,6.3150
383,0.00003471,0.001287,6.3158
384,0.00003545,0.001453,6.3160
385,0.00004139,0.002135,6.3152
386,0.00003503,0.001269,6.3150
387,0.00002929,0.001353,6.3148
388,0.00002208,0.000739,6.3137
389,0.00003381,0.001035,6.3148
390,0.00004592,0.001437,6.3152
391,0.00003288,0.001529,6.3146
392,0.00004480,0.001469,6.3160
393,0.00004880,0.001219,6.3172
394,0.00002892,0.001249,6.3141
395,0.00002913,0.001229,6.3154
396,0.00003046,0.001483,6.3143
397,0.00003120,0.000967,6.3137
398,0.00002217,0.001029,6.3150
399,0.00004155,0.000979,6.3154
400,0.00003006,0.000843,6.3123
401,0.00004419,0.001207,6.3141
402,0.00002550,0.001635,6.3168
403,0.00002750,0.001859,6.3154
404,0.00003112,0.001447,6.3162
405,0.00003675,0.001151,6.3154
406,0.00002955,0.001275,6.3131
407,0.00004297,0.001233,6.3146
408,0.00003152,0.001467,6.3145
409,0.00004387,0.001353,6.3158
410,0.00002929,0.001337,6.3158
411,0.00002361,0.000713,6.3154
412,0.00002905,0.001233,6.3170
413,0.00003987,0.001269,6.3162
414,0.00003518,0.000789,6.3146
415,0.00003623,0.000967,6.3141
416,0.00003231,0.001019,6.3148
417,0.00002954,0.001253,6.3162
418,0.00002737,0.001181,6.3152
419,0.00003285,0.001479,6.3135
420,0.00003287,0.001907,6.3166
421,0.00003414,0.001083,6.3148
422,0.00003973,0.001531,6.3170
423,0.00003322,0.001609,6.3152
424,0.00002376,0.001187,6.3139
425,0.00003574,0.001099,6.3164
426,0.00003120,0.001285,6.3141
427,0.00002243,0.000901,6.3172
428,0.00004025,0.001661,6.3160
429,0.00002809,0.000509,6.3141
430,0.00003769,0.001213,6.3158
431,0.00002986,0.001233,6.3137
432,0.00002266,0.000971,6.3141
433,0.00003478,0.001389,6.3180
434,0.00001898,0.001401,6.3156
435,0.00004159,0.001483,6.3154
436,0.00003411,0.001735,6.3170
437,0.00002782,0.001191,6.3160
438,0.00003455,0.001061,6.3143
439,0.00002957,0.001077,6.3141
440,0.00002853,0.001421,6.3152
441,0.00002460,0.001125,6.3158
442,0.00003987,0.001541,6.3143
443,0.00003829,0.001463,6.3174
444,0.00003241,0.001745,6.3162
445,0.00003429,0.000749,6.3125
446,0.00003168,0.001613,6.3156
447,0.00002500,0.001047,6.3160
448,0.00003512,0.000743,6.3158
449,0.00003149,0.001009,6.3168
450,0.00003880,0.001603,6.3168
451,0.00002806,0.001535,6.3174
452,0.00003446,0.001005,6.3152
453,0.00002784,0.001453,6.3164
454,0.00003261,0.001171,6.3156
455,0.00003804,0.001671,6.3164
456,0.00003485,0.001391,6.3150
457,0.00002740,0.001269,6.3152
458,0.00003105,0.001359,6.3148
459,0.00003856,0.001781,6.3158
460,0.00003355,0.001639,6.3145
461,0.00002050,0.000833,6.3158
462,0.00002759,0.001295,6.3156
463,0.00003229,0.001249,6.3154
464,0.00002651,0.001223,6.3152
465,0.00002665,0.001217,6.3156
466,0.00002772,0.001427,6.3152
467,0.00003029,0.001561,6.3164
468,0.00003439,0.001347,6.3164
469,0.00003611,0.001083,6.3148
470,0.00003025,0.000797,6.3146
471,0.00002394,0.001437,6.3170
472,0.00002364,0.000905,6.3137
473,0.00003403,0.000973,6.3127
474,0.00002873,0.000843,6.3148
475,0.00003646,0.001703,6.3162
476,0.00002959,0.000941,6.3141
477,0.00003021,0.000843,6.3150
478,0.00003834,0.001431,6.3156
479,0.00002191,0.000731,6.3146
480,0.00003866,0.001363,6.3154
481,0.00003283,0.001479,6.3150
482,0.00004092,0.001275,6.3152
483,0.00004241,0.000957,6.3150
484,0.00003140,0.001505,6.3148
485,0.00003922,0.001431,6.3164
486,0.00002604,0.001275,6.3154
487,0.00003520,0.000869,6.3152
488,0.00002573,0.000801,6.3123
489,0.00003214,0.001067,6.3137
